arm,mapping,held_out,seed,auc,prauc,n_train,n_train_normal,n_test,prevalence,n_eff,epochs,cls_epochs,exact,d_loss_final,pseudo_rate,pseudo_agrees_with_truth
probe,cosine,COVID-19,0,0.633786525974026,0.6824302776621712,1145,617,444,0.4954954954954955,13.875,5,20,True,,,
probe,cosine,Russia-Ukraine,0,0.5219332298136646,0.5337729525336796,1209,657,380,0.5157894736842106,11.875,5,20,True,,,
probe,cosine,Chinese,0,0.602460421498437,0.5659892021697149,1143,606,446,0.4730941704035874,13.9375,5,20,True,,,
probe,cosine,Iran 2025,0,0.5957091576926288,0.4246292214685749,1270,643,319,0.3793103448275862,9.96875,5,20,True,,,
probe,arctan,COVID-19,0,0.5191355519480519,0.5670447252361148,1145,617,444,0.4954954954954955,13.875,5,20,True,,,
probe,arctan,Russia-Ukraine,0,0.439773735581189,0.4592306527209856,1209,657,380,0.5157894736842106,11.875,5,20,True,,,
probe,arctan,Chinese,0,0.5857013209640012,0.5151149224721602,1143,606,446,0.4730941704035874,13.9375,5,20,True,,,
probe,arctan,Iran 2025,0,0.4477418816261792,0.3236199129311599,1270,643,319,0.3793103448275862,9.96875,5,20,True,,,
probe,arccosh,COVID-19,0,0.4268060064935065,0.4732118775538718,1145,617,444,0.4954954954954955,13.875,5,20,True,,,
probe,arccosh,Russia-Ukraine,0,0.3616903283052351,0.4477115925418362,1209,657,380,0.5157894736842106,11.875,5,20,True,,,
probe,arccosh,Chinese,0,0.4562468488454169,0.4173036677693403,1143,606,446,0.4730941704035874,13.9375,5,20,True,,,
probe,arccosh,Iran 2025,0,0.477335336839469,0.3474760319922861,1270,643,319,0.3793103448275862,9.96875,5,20,True,,,
probe,exponential,COVID-19,0,0.5659699675324675,0.6314651155622665,1145,617,444,0.4954954954954955,13.875,5,20,True,,,
probe,exponential,Russia-Ukraine,0,0.4360303904170364,0.4656519889600934,1209,657,380,0.5157894736842106,11.875,5,20,True,,,
probe,exponential,Chinese,0,0.5263688615508723,0.5300100635191249,1143,606,446,0.4730941704035874,13.9375,5,20,True,,,
probe,exponential,Iran 2025,0,0.5574755822689706,0.4851821990758631,1270,643,319,0.3793103448275862,9.96875,5,20,True,,,
mean_distance,cosine,COVID-19,0,0.6267045454545455,0.695094023859027,1145,617,444,0.4954954954954955,13.875,5,20,True,,,
mean_distance,cosine,Russia-Ukraine,0,0.6112744010647737,0.6952259634160348,1209,657,380,0.5157894736842106,11.875,5,20,True,,,
mean_distance,cosine,Chinese,0,0.5060199657154382,0.4903708590186916,1143,606,446,0.4730941704035874,13.9375,5,20,True,,,
mean_distance,cosine,Iran 2025,0,0.4555472076133233,0.4735168771301694,1270,643,319,0.3793103448275862,9.96875,5,20,True,,,
mean_distance,arctan,COVID-19,0,0.6171063311688312,0.6983011062090766,1145,617,444,0.4954954954954955,13.875,5,20,True,,,
mean_distance,arctan,Russia-Ukraine,0,0.5601985359361136,0.5300349327369343,1209,657,380,0.5157894736842106,11.875,5,20,True,,,
mean_distance,arctan,Chinese,0,0.6762327316728849,0.6330638271010841,1143,606,446,0.4730941704035874,13.9375,5,20,True,,,
mean_distance,arctan,Iran 2025,0,0.3499874780866516,0.3293880881038076,1270,643,319,0.3793103448275862,9.96875,5,20,True,,,
